    1.697500,    0.410500,    0.970690,    0.766000,   18.000000,    0.000545,    0.001184
    1.697500,    0.410500,    0.970690,    0.766000,   54.000000,    0.000865,    0.001269
    1.697500,    0.410500,    0.970690,    0.766000,   90.000000,    0.001043,    0.001201
    1.697500,    0.410500,    0.970690,    0.766000,  126.000000,    0.000805,    0.000865
    1.697500,    0.410500,    0.970690,    0.766000,  162.000000,    0.000448,    0.000512
    1.697500,    0.410500,    0.970690,    0.766000,  198.000000,    0.000438,    0.000503
    1.697500,    0.410500,    0.970690,    0.766000,  234.000000,    0.000779,    0.000842
    1.697500,    0.410500,    0.970690,    0.766000,  270.000000,    0.001010,    0.001171
    1.697500,    0.410500,    0.970690,    0.766000,  306.000000,    0.000838,    0.001243
    1.697500,    0.410500,    0.970690,    0.766000,  342.000000,    0.000535,    0.001174
