   1.698   0.410   0.971   0.766  18.000   2.184   1.000   2.027
   1.698   0.410   0.971   0.766  18.000   1.065   1.000   0.996
   1.698   0.410   0.971   0.766  54.000   1.475   1.000   1.387
   1.698   0.410   0.971   0.766  54.000   0.981   1.000   0.946
   1.698   0.410   0.971   0.766  90.000   1.156   1.000   1.093
   1.698   0.410   0.971   0.766  90.000   0.904   1.000   0.893
   1.698   0.410   0.971   0.766 126.000   1.078   1.000   0.996
   1.698   0.410   0.971   0.766 126.000   0.862   1.000   0.859
   1.698   0.410   0.971   0.766 162.000   1.146   1.000   0.985
   1.698   0.410   0.971   0.766 162.000   0.845   1.000   0.845
   1.698   0.410   0.971   0.766 198.000   1.146   1.000   0.985
   1.698   0.410   0.971   0.766 198.000   0.845   1.000   0.845
   1.698   0.410   0.971   0.766 234.000   1.078   1.000   0.996
   1.698   0.410   0.971   0.766 234.000   0.862   1.000   0.859
   1.698   0.410   0.971   0.766 270.000   1.156   1.000   1.093
   1.698   0.410   0.971   0.766 270.000   0.904   1.000   0.893
   1.698   0.410   0.971   0.766 306.000   1.475   1.000   1.387
   1.698   0.410   0.971   0.766 306.000   0.981   1.000   0.946
   1.698   0.410   0.971   0.766 342.000   2.184   1.000   2.027
   1.698   0.410   0.971   0.766 342.000   1.065   1.000   0.996
