  1.62  0.71  0.97 -0.75 18.00   0.170   0.197 -14.115
  1.62  0.71  0.97 -0.75 54.00   0.411   0.467 -11.987
  1.62  0.71  0.97 -0.75 90.00   0.491   0.549 -10.429
  1.62  0.71  0.97 -0.75126.00   0.430   0.481 -10.577
  1.62  0.71  0.97 -0.75162.00   0.184   0.208 -11.681
  1.62  0.71  0.97 -0.75198.00  -0.184  -0.208 -11.681
  1.62  0.71  0.97 -0.75234.00  -0.430  -0.481 -10.577
  1.62  0.71  0.97 -0.75270.00  -0.491  -0.549 -10.429
  1.62  0.71  0.97 -0.75306.00  -0.411  -0.467 -11.987
  1.62  0.71  0.97 -0.75342.00  -0.170  -0.197 -14.115
