  1.60  0.71  0.97 -0.75 18.00   0.140   0.154  -8.829
  1.60  0.71  0.97 -0.75 54.00   0.344   0.373  -7.540
  1.60  0.71  0.97 -0.75 90.00   0.413   0.442  -6.608
  1.60  0.71  0.97 -0.75126.00   0.355   0.380  -6.723
  1.60  0.71  0.97 -0.75162.00   0.148   0.160  -7.366
  1.60  0.71  0.97 -0.75198.00  -0.148  -0.160  -7.366
  1.60  0.71  0.97 -0.75234.00  -0.355  -0.380  -6.723
  1.60  0.71  0.97 -0.75270.00  -0.413  -0.442  -6.608
  1.60  0.71  0.97 -0.75306.00  -0.344  -0.373  -7.540
  1.60  0.71  0.97 -0.75342.00  -0.140  -0.154  -8.829
