  1.62  0.71  0.97  0.75 18.00   0.161   0.202 -20.226
  1.62  0.71  0.97  0.75 54.00   0.423   0.499 -15.255
  1.62  0.71  0.97  0.75 90.00   0.533   0.609 -12.387
  1.62  0.71  0.97  0.75126.00   0.474   0.539 -12.102
  1.62  0.71  0.97  0.75162.00   0.202   0.232 -13.087
  1.62  0.71  0.97  0.75198.00  -0.202  -0.232 -13.087
  1.62  0.71  0.97  0.75234.00  -0.474  -0.539 -12.102
  1.62  0.71  0.97  0.75270.00  -0.533  -0.609 -12.385
  1.62  0.71  0.97  0.75306.00  -0.423  -0.499 -15.255
  1.62  0.71  0.97  0.75342.00  -0.161  -0.202 -20.225
