  1.62  0.41  0.98  0.75 18.00   0.157   0.206 -23.757
  1.62  0.41  0.98  0.75 54.00   0.417   0.501 -16.763
  1.62  0.41  0.98  0.75 90.00   0.529   0.610 -13.276
  1.62  0.41  0.98  0.75126.00   0.480   0.552 -13.016
  1.62  0.41  0.98  0.75162.00   0.211   0.246 -14.358
  1.62  0.41  0.98  0.75198.00  -0.211  -0.246 -14.358
  1.62  0.41  0.98  0.75234.00  -0.480  -0.552 -13.016
  1.62  0.41  0.98  0.75270.00  -0.529  -0.610 -13.276
  1.62  0.41  0.98  0.75306.00  -0.417  -0.501 -16.763
  1.62  0.41  0.98  0.75342.00  -0.157  -0.206 -23.757
