   1.623   4.085   0.756   0.750  18.000   1.172   1.000   1.176
   1.623   4.085   0.756   0.750  18.000   1.170   1.000   1.083
   1.623   4.085   0.756   0.750  54.000   1.123   1.000   1.121
   1.623   4.085   0.756   0.750  54.000   1.126   1.000   1.055
   1.623   4.085   0.756   0.750  90.000   1.067   1.000   1.061
   1.623   4.085   0.756   0.750  90.000   1.070   1.000   1.017
   1.623   4.085   0.756   0.750 126.000   1.025   1.000   1.018
   1.623   4.085   0.756   0.750 126.000   1.029   1.000   0.985
   1.623   4.085   0.756   0.750 162.000   1.002   1.000   0.996
   1.623   4.085   0.756   0.750 162.000   1.008   1.000   0.968
   1.623   4.085   0.756   0.750 198.000   1.002   1.000   0.996
   1.623   4.085   0.756   0.750 198.000   1.008   1.000   0.968
   1.623   4.085   0.756   0.750 234.000   1.025   1.000   1.018
   1.623   4.085   0.756   0.750 234.000   1.029   1.000   0.985
   1.623   4.085   0.756   0.750 270.000   1.067   1.000   1.061
   1.623   4.085   0.756   0.750 270.000   1.070   1.000   1.017
   1.623   4.085   0.756   0.750 306.000   1.123   1.000   1.121
   1.623   4.085   0.756   0.750 306.000   1.126   1.000   1.055
   1.623   4.085   0.756   0.750 342.000   1.172   1.000   1.176
   1.623   4.085   0.756   0.750 342.000   1.170   1.000   1.083
