  1.62  4.09  0.76 -0.75 18.00   0.084   0.103 -18.425
  1.62  4.09  0.76 -0.75 54.00   0.235   0.279 -15.908
  1.62  4.09  0.76 -0.75 90.00   0.303   0.355 -14.531
  1.62  4.09  0.76 -0.75126.00   0.245   0.282 -13.381
  1.62  4.09  0.76 -0.75162.00   0.091   0.104 -12.579
  1.62  4.09  0.76 -0.75198.00  -0.091  -0.104 -12.579
  1.62  4.09  0.76 -0.75234.00  -0.245  -0.282 -13.381
  1.62  4.09  0.76 -0.75270.00  -0.303  -0.355 -14.531
  1.62  4.09  0.76 -0.75306.00  -0.235  -0.279 -15.908
  1.62  4.09  0.76 -0.75342.00  -0.084  -0.103 -18.425
