 program DIFFRAD 1.0 version from 03.31.2000

 the file contains work information about
 contribution of tails
 bmom  =   6.530
 tmom  =   0.000
 lepton= 1
 ivec  = 1
 cutv  = 0.166
 npoi  = 10
 tai:  1  1  -0.1209E+09  0.0002    10065  0
 tai:  2  1  -0.7194E+10  0.0010    62601  0
 tai:  3  1  -0.5610E+09  0.0001    10131  0
 tai:  4  1  -0.6501E+10  0.0010    62733  0
 tai:  5  1  -0.6851E+08  0.0002    10065  0
 tai:  1  2  -0.8168E+09  0.0010    20757  0
 tai:  2  2  -0.2050E+10  0.0008    10989  0
 tai:  3  2  -0.2303E+10  0.0007    10857  0
 tai:  4  2  -0.2085E+10  0.0010    10593  0
 tai:  5  2  -0.5375E+09  0.0010    15675  0
 tai:  1  3  -0.1204E+09  0.0002    10197  0
 tai:  2  3  -0.7185E+10  0.0010    58641  0
 tai:  3  3  -0.5592E+09  0.0001    12243  0
 tai:  4  3  -0.6494E+10  0.0010    58509  0
 tai:  5  3  -0.6835E+08  0.0002    10131  0
 tai:   0.2745E-03   0.1518E-0310131    0
 tai:  1  1  -0.6817E+05  0.0003    10065  0
 tai:  2  1  -0.4327E+07  0.0010    65439  0
 tai:  3  1  -0.3326E+06  0.0001    10065  0
 tai:  4  1  -0.4041E+07  0.0016    96459  2
 tai:  5  1  -0.4156E+05  0.0003    10329  0
 tai:  1  2  -0.4490E+06  0.0011    94611  2
 tai:  2  2  -0.1243E+07  0.0010    15147  0
 tai:  3  2  -0.1419E+07  0.0010    18447  0
 tai:  4  2  -0.1307E+07  0.0010    40359  0
 tai:  5  2  -0.3285E+06  0.0010    44913  0
 tai:  1  3  -0.7544E+05  0.0003    10065  0
 tai:  2  3  -0.4471E+07  0.0010    79101  0
 tai:  3  3  -0.3661E+06  0.0001    12111  0
 tai:  4  3  -0.4170E+07  0.0015    96393  2
 tai:  5  3  -0.4538E+05  0.0003    10065  0
 tai:   0.1699E-06   0.2547E-0310065    0
 tai:  1  1  -0.1030E+09  0.0002    10791  0
 tai:  2  1  -0.6226E+10  0.0010    56265  0
 tai:  3  1  -0.4949E+09  0.0001    10131  0
