  1.49  0.41  0.98 -0.75 18.00   0.016   0.017  -8.909
  1.49  0.41  0.98 -0.75 54.00   0.040   0.044  -8.653
  1.49  0.41  0.98 -0.75 90.00   0.050   0.054  -8.359
  1.49  0.41  0.98 -0.75126.00   0.040   0.044  -8.179
  1.49  0.41  0.98 -0.75162.00   0.016   0.017  -8.117
  1.49  0.41  0.98 -0.75198.00  -0.016  -0.017  -8.117
  1.49  0.41  0.98 -0.75234.00  -0.040  -0.044  -8.179
  1.49  0.41  0.98 -0.75270.00  -0.050  -0.054  -8.359
  1.49  0.41  0.98 -0.75306.00  -0.040  -0.044  -8.653
  1.49  0.41  0.98 -0.75342.00  -0.016  -0.017  -8.909
